File,GraphID,Vertices,Kruskal(ms),Prim(ms),Kruskal Ops,Prim Ops,MST Cost
input_small.json,1,5,0.538,0.958,45,13,94
input_small.json,2,10,0.031,0.086,165,58,129
input_small.json,3,15,0.039,0.102,261,92,222
input_small.json,4,20,0.064,0.134,359,132,423
input_small.json,5,25,0.067,0.143,442,150,734
input_medium.json,6,50,0.093,0.359,894,320,1382
input_medium.json,7,75,0.012,0.014,123,23,70
input_medium.json,8,100,0.196,1.928,1825,689,2460
input_medium.json,9,125,0.024,0.021,179,26,87
input_medium.json,10,150,0.391,3.245,2746,1040,4338
input_medium.json,11,200,0.657,1.681,3647,1387,5571
input_medium.json,12,225,0.020,0.016,279,26,58
input_medium.json,13,250,0.623,2.421,4600,1738,6711
input_medium.json,14,275,0.032,0.043,323,23,44
input_medium.json,15,300,0.521,1.914,5535,2090,9344
input_large.json,16,350,0.894,2.332,6427,2427,10360
input_large.json,17,400,0.809,2.435,7313,2763,11502
input_large.json,18,450,0.976,3.772,8265,3121,12926
input_large.json,19,500,0.826,4.408,9130,3461,14995
input_large.json,20,550,1.091,5.149,10043,3802,15556
input_large.json,21,600,1.309,6.001,11009,4136,16397
input_large.json,22,650,0.918,6.252,11842,4494,18227
input_large.json,23,700,0.951,7.004,12828,4838,18774
input_large.json,24,750,1.044,7.615,13705,5186,20529
input_large.json,25,800,0.987,10.321,14625,5531,22494
input_extralarge.json,26,1300,1.491,12.523,23891,9010,37315
input_extralarge.json,27,1600,1.561,14.940,29491,11099,46820
input_extralarge.json,28,2000,1.738,29.028,36767,13884,55581
